Date,Close/Last,Volume,Open,High,Low
06/28/2022,1142.24,N/A,1182.7,1155.02,1135.44
06/27/2022,1181.39,N/A,1220.12,1199.09,1165.84
06/26/2022,1217.58,N/A,1232.99,1225.62,1196.36
06/25/2022,1233.08,N/A,1223.46,1245.48,1227.85
06/24/2022,1225.49,N/A,1150.49,1226.74,1205.25
06/23/2022,1150.01,N/A,1076.58,1165.83,1141.59
06/22/2022,1079.04,N/A,1089.32,1096.68,1046.57
06/21/2022,1088.17,N/A,1131.06,1127.06,1087.49
06/20/2022,1130.16,N/A,1080.51,1140.45,1110.63
06/19/2022,1083.15,N/A,952.67,1131.17,1056.58
06/18/2022,964.16,N/A,1079.08,1009.19,941.71
06/17/2022,1079.28,N/A,1071.67,1096.93,1072.1
06/16/2022,1074.06,N/A,1209.77,1116.46,1052.17
06/15/2022,1210.91,N/A,1171.24,1254.28,1203.57
06/14/2022,1183.35,N/A,1172.67,1226.97,1178.93
06/13/2022,1165.07,N/A,1349.9,1224.2,1078.11
06/12/2022,1357.81,N/A,1450.2,1454.07,1308.26
06/11/2022,1472.91,N/A,1673.42,1541.84,1449.79
06/10/2022,1670.18,N/A,1786.72,1681.58,1659.58
06/09/2022,1796.4,N/A,1794.1,1803.54,1753.65
06/08/2022,1799.12,N/A,1824.47,1800.04,1778
06/07/2022,1786.36,N/A,1740.08,1834.87,1766.94
06/06/2022,1754.73,N/A,1867.66,1861.08,1727.77
06/05/2022,1876.28,N/A,1792.35,1880.03,1804.77
06/04/2022,1791.8,N/A,1754.76,1810.69,1784.85
06/03/2022,1755.14,N/A,1831.4,1779.7,1748.89
06/02/2022,1828.92,N/A,1831.03,1843.31,1824.4
06/01/2022,1811.09,N/A,1929.85,1835.53,1806.57
05/31/2022,1928.79,N/A,1994.5,1958.42,1927.74
05/30/2022,1894.38,N/A,1795.87,1915.12,1804.33
05/29/2022,1877.77,N/A,1777.4,1887.24,1804.33
05/28/2022,1774.55,N/A,1764.41,1795.5,1764.72
05/27/2022,1758.05,N/A,1768.29,1762.42,1722.88
05/26/2022,1769.78,N/A,1948.88,1807.02,1734.05
05/25/2022,1943.28,N/A,2013.72,1964.91,1934.2
05/24/2022,2015.14,N/A,1987.94,2020.64,1971.07
05/23/2022,1987.38,N/A,2030.76,1989.71,1970.5
05/22/2022,2029.26,N/A,1974.11,2054.54,2021.53
05/21/2022,1973.09,N/A,1967.87,1983.65,1972.08
05/20/2022,1959.03,N/A,2023.39,1973.66,1940.59
05/19/2022,2023.89,N/A,1953.19,2051.8,2005.27
05/18/2022,1956.19,N/A,2040.76,1963.44,1903.67
05/17/2022,2040.11,N/A,2073.76,2108.84,2037.92
05/16/2022,2073.47,N/A,2075.81,2078.66,2019.5
05/15/2022,2072.98,N/A,2014.59,2145.86,2068.43
05/14/2022,2014.44,N/A,2055.63,2078.17,2001.74
05/13/2022,2049.91,N/A,2095.46,2068.66,2002.8
05/12/2022,2103.28,N/A,1977.79,2106.12,1941.53
05/11/2022,2016.31,N/A,2360.72,2190.51,2007.86
05/10/2022,2365.41,N/A,2304.23,2391.32,2321.95
05/09/2022,2308.76,N/A,2457.64,2345.54,2202.02
05/08/2022,2462.2,N/A,2545.43,2529.35,2426.37
05/07/2022,2539.65,N/A,2668.87,2641.84,2525.91
05/06/2022,2676.07,N/A,2744.75,2697.46,2665.77
05/05/2022,2743.74,N/A,2941.7,2757.14,2726.46
05/04/2022,2941.1,N/A,2798.23,2952.84,2937.74
05/03/2022,2798.03,N/A,2847.97,2807.55,2773.9
05/02/2022,2847.02,N/A,2841.13,2861.42,2830.76
05/01/2022,2844.57,N/A,2777.2,2848.03,2823.28
04/30/2022,2771.99,N/A,2818.39,2780.31,2720.57
04/29/2022,2819.01,N/A,2924.1,2837.78,2810.84
04/28/2022,2924.36,N/A,2883.8,2946.18,2904.78
04/27/2022,2884.69,N/A,2835.18,2915.51,2873.17
04/26/2022,2837.63,N/A,3000.63,2843.99,2795.58
04/25/2022,2999.91,N/A,2876.46,3032.7,2986.67
04/24/2022,2875.42,N/A,2956.45,2924.16,2845.43
04/23/2022,2956.36,N/A,2947.31,2959.1,2924.09
04/22/2022,2945.05,N/A,2994.21,2973.6,2943.04
04/21/2022,3000.35,N/A,3096.91,3007.87,2971.06
04/20/2022,3093.23,N/A,3091.63,3104.83,3072.01
04/19/2022,3086.9,N/A,3038.3,3105.91,3067.12
04/18/2022,3038.72,N/A,2995.17,3089.49,3036.86
04/17/2022,3044.94,N/A,3039.47,3064.5,3022.75
04/16/2022,3033.53,N/A,3037.11,3064.5,3022.75
04/15/2022,3039.72,N/A,3041.64,3048.73,3034.91
04/14/2022,3036.55,N/A,3118.51,3041.93,3013.48
04/13/2022,3115.75,N/A,3049.78,3143.18,3111.35
04/12/2022,3051.68,N/A,2981.78,3066.74,3006.75
04/11/2022,2979.27,N/A,3174.33,2994.8,2951.8
04/10/2022,3172.21,N/A,3258.32,3213.52,3154.22
04/09/2022,3257.31,N/A,3209.67,3267.51,3246.37
04/08/2022,3214.06,N/A,3267.1,3222.46,3182.1
04/07/2022,3260.83,N/A,3188.54,3275.27,3216.58
04/06/2022,3186.43,N/A,3338.72,3206.46,3143.96
04/05/2022,3342.88,N/A,3523.91,3406.83,3275
04/04/2022,3521.97,N/A,3490.54,3534.97,3501.23
04/03/2022,3497.41,N/A,3455.9,3521.16,3473.6
04/02/2022,3475.01,N/A,3469.54,3529.63,3436.79
04/01/2022,3469.32,N/A,3250.19,3521.34,3440.56
03/31/2022,3243.43,N/A,3396.81,3306.9,3215.33
03/30/2022,3399,N/A,3384.49,3423.81,3378.83
03/29/2022,3384.11,N/A,3368.06,3401.86,3333.5
03/28/2022,3368.15,N/A,3311.74,3399.22,3329.67
03/27/2022,3308.9,N/A,3143.9,3321.44,3275.32
03/26/2022,3139.4,N/A,3108.96,3165.76,3137.62
03/25/2022,3109.07,N/A,3132.8,3116.82,3085.8
03/24/2022,3129.62,N/A,3016.91,3140.58,3094.22
03/23/2022,3024.87,N/A,2948.22,3078.7,3006.1
03/22/2022,2957.69,N/A,3006.49,2991.68,2927.95
03/21/2022,3012.49,N/A,2843.85,3024.15,2887.69
03/20/2022,2846.42,N/A,2932.97,2875.65,2830.38
03/19/2022,2935.87,N/A,2948.78,2962.19,2907.81
03/18/2022,2934.49,N/A,2778.73,2979.37,2931.8
03/17/2022,2777.09,N/A,2775.24,2813.44,2768.65
03/16/2022,2765.71,N/A,2690.33,2782.99,2754
03/15/2022,2620.33,N/A,2562.01,2731,2603.8
03/14/2022,2540.4,N/A,2525.12,2598.48,2539.36
03/13/2022,2530.15,N/A,2591.04,2542.32,2500.12
03/12/2022,2589.99,N/A,2583.86,2600.65,2562.5
03/11/2022,2589.51,N/A,2551.41,2596.72,2555.85
03/10/2022,2538.18,N/A,2658.72,2609.86,2525.2
03/09/2022,2605.06,N/A,2718.99,2731.37,2593.93
03/08/2022,2714.62,N/A,2541.66,2727.33,2569.13
03/07/2022,2538.86,N/A,2525.67,2567.32,2483.29
03/06/2022,2529.19,N/A,2645.68,2557.09,2509
03/03/2022,2833.49,N/A,2947.14,2967.89,2789.87
03/02/2022,2893.74,N/A,2997.14,2967.89,2888.09
03/01/2022,3007.96,N/A,2925.32,3041.84,2914.7
02/28/2022,2918.05,N/A,2612.25,2969.62,2892.95
02/27/2022,2613.14,N/A,2706.14,2676.3,2590.34
02/26/2022,2713.75,N/A,2807.7,2790.19,2681.99
02/25/2022,2819.57,N/A,2615.98,2856.01,2767.58
02/24/2022,2619.36,N/A,2402.67,2646.92,2583.02
02/23/2022,2396.84,N/A,2652.93,2592.01,2360.91
02/22/2022,2644.12,N/A,2511.26,2657.86,2602.98
02/21/2022,2529.98,N/A,2744.16,2619.03,2510.79
02/20/2022,2740.94,N/A,2682.65,2740.94,2608.18
02/19/2022,2689.1,N/A,2814.85,2764.46,2683.91
02/18/2022,2809.14,N/A,2879.03,2829.2,2767.01
02/17/2022,2892.8,N/A,3065.23,2918.82,2864.53
02/16/2022,3070.62,N/A,3122.86,3159.83,3057.02
02/15/2022,3121.66,N/A,3015.34,3184.07,3106.15
02/14/2022,3014.47,N/A,2866.59,3036.79,2912.61
02/13/2022,2859.28,N/A,2917.16,2891.38,2834.13
02/12/2022,2913.1,N/A,2936.46,2944.78,2899.13
02/11/2022,2932.54,N/A,3070.07,2959.2,2912.69
02/10/2022,3064.85,N/A,3169.37,3094.79,3002.35
02/09/2022,3160.31,N/A,3079.83,3247.1,3160.1
02/08/2022,3092.43,N/A,3162.12,3129.98,3063.7
02/07/2022,3153.36,N/A,3085.97,3159.13,3114.03
02/06/2022,3079.87,N/A,3017.08,3084.93,2995.59
02/05/2022,3015.9,N/A,3013.39,3033.46,2990.19
02/04/2022,3013.5,N/A,2683.5,3034.1,2963.11
